"","host.id","tree.id","xcoord","tips","reads","subgraphs","clades","overall.rtt","largest.rtt","max.branch.length","max.pat.distance","global.mean.pat.distance","subgraph.mean.pat.distance","normalised.overall.rtt","normalised.largest.rtt","normalised.max.branch.length","normalised.max.pat.distance","normalised.global.mean.pat.distance","normalised.subgraph.mean.pat.distance","solo.dual.count","prop.gp.1","prop.gp.2","prop.gp.3"
"1","FSQAFY00X4F-fq1","1000_to_1249",1124.5,52,100,1,43,0.02199906432,0.02199906432,0.0163657194,0.0447969389,0.0213517822550528,0.0213517822550528,0.0183386872025498,0.0183386872025498,0.0136426624585323,0.0373432723396317,0.0177991050117702,0.0177991050117702,1,1,0,0
"2","FSQB8U16YCY-fq1","1000_to_1249",1124.5,1,6,1,1,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,0
"3","FSQBFU012VM-fq1","1000_to_1249",1124.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","FSQBFV00K8L-fq1","1000_to_1249",1124.5,63,70,1,1,0.0431058121457143,0.0431058121457143,0.0428484011,0.1414444185,0.0590165861796211,0.0590165861796211,0.0359335285380049,0.0359335285380049,0.0357189475639612,0.117909785147537,0.0491969430139106,0.0491969430139106,1,1,0,0
"5","FSQCFV008QL-fq1","1000_to_1249",1124.5,6,6,1,1,0.0125661469333333,0.0125661469333333,0.013413581,0.0355787236,0.0227773636933333,0.0227773636933333,0.0104752927033435,0.0104752927033435,0.011181724033664,0.0296588561074936,0.0189874870128456,0.0189874870128456,1,1,0,0
"6","FSQCFW01MW3-fq1","1000_to_1249",1124.5,70,88,1,1,0.0465532166943182,0.0465532166943182,0.0222632414,0.1088879688,0.0444975992852174,0.0444975992852174,0.038807326839509,0.038807326839509,0.0185589084249496,0.0907703332695288,0.0370937392011773,0.0370937392011773,1,1,0,0
"7","FSQCFX0212D-fq1","1000_to_1249",1124.5,3,6,1,1,0.0297550649666667,0.0297550649666667,0.0511051622,0.0550165497,0.0366795107333333,0.0366795107333333,0.0248041835406229,0.0248041835406229,0.0426018838978226,0.045862464022826,0.0305764856312383,0.0305764856312383,1,1,0,0
"8","FSQD8U16YWT-fq1","1000_to_1249",1124.5,30,56,1,1,0.0157187927892857,0.0157187927892857,0.02245808,0.0442460894,0.0179685286841379,0.0179685286841379,0.0131033765787183,0.0131033765787183,0.0187213282482843,0.0368840775061952,0.014978783744401,0.014978783744401,1,1,0,0
"9","FSQDFV008MV-fq1","1000_to_1249",1124.5,29,100,1,27,0.007697138832,0.007697138832,0.013735227,0.0275362713,0.0125336162157635,0.0125336162157635,0.0064164284144721,0.0064164284144721,0.0114498520457536,0.0229545701921585,0.0104481747020818,0.0104481747020818,1,1,0,0
"10","FSQEFW0259T-fq1","1000_to_1249",1124.5,5,6,1,1,0.0202286958166667,0.0202286958166667,0.0643159639,0.0832534425,0.03800342344,0.03800342344,0.0168628865165015,0.0168628865165015,0.0536145686441897,0.0694010808066479,0.0316801153428424,0.0316801153428424,1,1,0,0
"11","FSQFFW01C6L-fq1","1000_to_1249",1124.5,28,56,1,1,0.0345117489339286,0.0345117489339286,0.0132480403,0.0606310407,0.0305513378058201,0.0305513378058201,0.0287694130671212,0.0287694130671212,0.0110437272956014,0.0505427719101448,0.0254679662503195,0.0254679662503195,1,1,0,0
"12","FSQGFW007QH-fq1","1000_to_1249",1124.5,44,100,1,37,0.011822804773,0.011822804773,0.0223837114,0.0628097189,0.0211684545577167,0.0211684545577167,0.00985563365037062,0.00985563365037062,0.0186593336800948,0.0523589445183812,0.0176462808166996,0.0176462808166996,1,1,0,0
"13","FSQHFY002YP-fq1","1000_to_1249",1124.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","FSQJFU011GK-fq1","1000_to_1249",1124.5,7,8,1,1,0.0086279443625,0.0086279443625,0.0129780452,0.0302611739,0.0168512292952381,0.0168512292952381,0.00719235920961616,0.00719235920961616,0.0108186561010679,0.0252260820942981,0.0140473894038697,0.0140473894038697,1,1,0,0
"15","FSQJFW01KL9-fq1","1000_to_1249",1124.5,3,4,1,1,0.0098961742,0.0098961742,0.0179161689,0.022303492,0.0148696706,0.0148696706,0.00824957100519734,0.00824957100519734,0.014935135992418,0.0185924618139655,0.0123955380088798,0.0123955380088798,1,1,0,0
"16","FSQK8U16YHC-fq1","1000_to_1249",1124.5,21,90,1,1,0.00138695257,0.00138695257,0.0091449165,0.0224488889,0.0109522644219048,0.0109522644219048,0.00115618050731726,0.00115618050731726,0.00762331346222167,0.0187136664356956,0.0091299406407175,0.0091299406407175,1,1,0,0
"17","FSQK8U16YLX-fq1","1000_to_1249",1124.5,31,100,1,17,0.005142594897,0.005142594897,0.0090299322,0.031434637,0.0130443819483871,0.0130443819483871,0.00428692956453485,0.00428692956453485,0.007527461153222,0.0262042951865281,0.0108739552202036,0.0108739552202036,1,1,0,0
"18","FSQK8U16YR3-fq1","1000_to_1249",1124.5,23,67,1,1,0.0104863874149254,0.0104863874149254,0.0132418907,0.0354895276,0.0136830775478261,0.0136830775478261,0.00874157990948004,0.00874157990948004,0.0110386009143526,0.0295845012385807,0.0114063796290503,0.0114063796290503,1,1,0,0
"19","FSQK8U16YSD-fq1","1000_to_1249",1124.5,21,100,1,18,0.001106233714,0.001106233714,0.0082314109,0.0205413357,0.00963361211428571,0.00963361211428571,0.000922169859538868,0.000922169859538868,0.00686180409925538,0.0171235069203557,0.00803069606164868,0.00803069606164868,1,1,0,0
"20","FSQKFU012WG-fq1","1000_to_1249",1124.5,11,16,1,1,0.01547299618125,0.01547299618125,0.0225952233,0.0537252057,0.01894062948,0.01894062948,0.0128984775409844,0.0128984775409844,0.0188356525688118,0.0447859839806562,0.0157891387742946,0.0157891387742946,1,1,0,0
"21","FSQAFY00X4F-fq1","1025_to_1274",1149.5,49,100,1,44,0.016921778793,0.016921778793,0.0167733033,0.0459137771,0.0210481779311224,0.0210481779311224,0.0140896576269773,0.0140896576269773,0.0139660318020591,0.0382293970163441,0.0175254401058529,0.0175254401058529,1,1,0,0
"22","FSQB8U16YCY-fq1","1025_to_1274",1149.5,1,8,1,1,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,0
"23","FSQBFU012VM-fq1","1025_to_1274",1149.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","FSQBFV00K8L-fq1","1025_to_1274",1149.5,73,81,1,1,0.0753248793148148,0.0753248793148148,0.0372616067,0.1353023831,0.057097534813242,0.057097534813242,0.0627180967983194,0.0627180967983194,0.0310253010310747,0.112657438518326,0.0475413800584478,0.0475413800584478,1,1,0,0
"25","FSQCFV008QL-fq1","1025_to_1274",1149.5,7,7,1,1,0.0179047995857143,0.0179047995857143,0.0134857948,0.0536215225,0.0294010002095238,0.0294010002095238,0.0149081546998307,0.0149081546998307,0.0112287386499977,0.0446471321191592,0.0244802885033717,0.0244802885033717,1,1,0,0
"26","FSQCFW01MW3-fq1","1025_to_1274",1149.5,72,89,1,1,0.0344338731539326,0.0344338731539326,0.018006809,0.0795987486,0.0367187601201878,0.0367187601201878,0.0286708323896994,0.0286708323896994,0.0149930912623278,0.0662766680163537,0.0305733082147703,0.0305733082147703,1,1,0,0
"27","FSQCFX0212D-fq1","1025_to_1274",1149.5,3,6,1,1,0.0284141991333333,0.0284141991333333,0.0524228105,0.0563668683,0.0375794168666667,0.0375794168666667,0.0236586438358969,0.0236586438358969,0.0436490430955433,0.0469330018768741,0.0312899207553651,0.0312899207553651,1,1,0,0
"28","FSQD8U16YWT-fq1","1025_to_1274",1149.5,39,66,1,1,0.0126355157742424,0.0126355157742424,0.022619379,0.0487380575,0.0194063436280702,0.0194063436280702,0.0105207669581989,0.0105207669581989,0.0188336763967553,0.0405809904490063,0.0161583921439801,0.0161583921439801,1,1,0,0
"29","FSQDFV008MV-fq1","1025_to_1274",1149.5,31,100,1,30,0.008008988765,0.008008988765,0.0093894465,0.0279547303,0.0135397264184946,0.0135397264184946,0.00666856073569744,0.00666856073569744,0.00781797753712191,0.0232760742117974,0.011273643978755,0.011273643978755,1,1,0,0
"30","FSQEFW0259T-fq1","1025_to_1274",1149.5,3,3,1,1,0.0063602236,0.0063602236,0.0095705115,0.0143259695,0.00955207246666667,0.00955207246666667,0.00529574189872349,0.00529574189872349,0.00796873851145186,0.0119282971310922,0.00795338553527736,0.00795338553527736,1,1,0,0
"31","FSQFFW01C6L-fq1","1025_to_1274",1149.5,25,65,1,1,0.0213441522507692,0.0213441522507692,0.0226681579,0.06326975,0.0267926034393333,0.0267926034393333,0.0177718785495422,0.0177718785495422,0.0188742913940808,0.0526805796570989,0.0223084472391129,0.0223084472391129,1,1,0,0
"32","FSQGFW007QH-fq1","1025_to_1274",1149.5,48,100,1,45,0.0130501899,0.0130501899,0.0186728662,0.0714193015,0.0211242482546099,0.0211242482546099,0.010866038961229,0.010866038961229,0.0155476734976106,0.0594661777820383,0.0175887788852226,0.0175887788852226,1,1,0,0
"33","FSQHFY002YP-fq1","1025_to_1274",1149.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","FSQJFU011GK-fq1","1025_to_1274",1149.5,4,4,1,1,0.00884751135,0.00884751135,0.0133246015,0.0266127457,0.0176950227,0.0176950227,0.00736674360876662,0.00736674360876662,0.0110945235396038,0.0221586914717217,0.0147334872175332,0.0147334872175332,1,1,0,0
